Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Relationship of Handgrip Strength and Body Mass Index With Cognitive Function in Patients With Schizophrenia.","/pubmed/29743873","Hidese S, Matsuo J, Ishida I, Hiraishi M, Teraishi T, Ota M, Hattori K, Kunugi H.","Front Psychiatry. 2018 Apr 25;9:156. doi: 10.3389/fpsyt.2018.00156. eCollection 2018.","Front Psychiatry.  2018","PubMed","citation","PMID:29743873 | PMCID:PMC5930849","pubmed","29743873","create date:2018/05/11 | first author:Hidese S",
"Lipid accumulation product and visceral adiposity index are associated with dietary patterns in adult Americans.","/pubmed/29742682","Mazidi M, Gao HK, Kengne AP.","Medicine (Baltimore). 2018 May;97(19):e0322. doi: 10.1097/MD.0000000000010322.","Medicine (Baltimore).  2018","PubMed","citation","PMID:29742682 | PMCID:PMC5959400","pubmed","29742682","create date:2018/05/10 | first author:Mazidi M",
"Effects of physical activity on psychological well-being outcomes in breast cancer survivors from prediagnosis to posttreatment survivorship.","/pubmed/29740914","Aguiñaga S, Ehlers DK, Cosman J, Severson J, Kramer AF, McAuley E.","Psychooncology. 2018 Aug;27(8):1987-1994. doi: 10.1002/pon.4755. Epub 2018 Jun 1.","Psychooncology.  2018","PubMed","citation","PMID:29740914","pubmed","29740914","create date:2018/05/10 | first author:Aguiñaga S",
"The influence of resting blood pressure on muscle strength in healthy adults.","/pubmed/29738358","Blanchard AR, Taylor BA, Thompson PD, Lepley LK, White CM, Corso LM, Zaleski AL, Pescatello LS.","Blood Press Monit. 2018 Aug;23(4):185-190. doi: 10.1097/MBP.0000000000000325.","Blood Press Monit.  2018","PubMed","citation","PMID:29738358 | PMCID:PMC6035107","pubmed","29738358","create date:2018/05/09 | first author:Blanchard AR",
"Patients with chronic fatigue syndrome do not score higher on the autism-spectrum quotient than healthy controls: Comparison with autism spectrum disorder.","/pubmed/29738079","Bileviciute-Ljungar I, Maroti D, Bejerot S.","Scand J Psychol. 2018 Aug;59(4):428-432. doi: 10.1111/sjop.12451. Epub 2018 May 8.","Scand J Psychol.  2018","PubMed","citation","PMID:29738079","pubmed","29738079","create date:2018/05/09 | first author:Bileviciute-Ljungar I",
"Cinnamon improves metabolic factors without detectable effects on adiponectin in women with polycystic ovary syndrome.","/pubmed/29737802","Borzoei A, Rafraf M, Asghari-Jafarabadi M.","Asia Pac J Clin Nutr. 2018;27(3):556-563. doi: 10.6133/apjcn.062017.13.","Asia Pac J Clin Nutr.  2018","PubMed","citation","PMID:29737802","pubmed","29737802","create date:2018/05/09 | first author:Borzoei A",
"Socioeconomic status and quality of life in patients with locally advanced head and neck cancer.","/pubmed/29736758","Tribius S, Meyer MS, Pflug C, Hanken H, Busch CJ, Krüll A, Petersen C, Bergelt C.","Strahlenther Onkol. 2018 Aug;194(8):737-749. doi: 10.1007/s00066-018-1305-3. Epub 2018 May 7.","Strahlenther Onkol.  2018","PubMed","citation","PMID:29736758","pubmed","29736758","create date:2018/05/08 | first author:Tribius S",
"Efficacy of an Attachment-Based Intervention Model on Health Indices in Children with Chronic Disease and Their Mothers.","/pubmed/29736633","Dehghani-Arani F, Besharat MA, Fitton VA, Aghamohammadi A.","Adm Policy Ment Health. 2018 Nov;45(6):900-910. doi: 10.1007/s10488-018-0873-y.","Adm Policy Ment Health.  2018","PubMed","citation","PMID:29736633 | PMCID:PMC6208895","pubmed","29736633","create date:2018/05/08 | first author:Dehghani-Arani F",
"Effects of high-intensity interval training on fatigue and quality of life in testicular cancer survivors.","/pubmed/29736007","Adams SC, DeLorey DS, Davenport MH, Fairey AS, North S, Courneya KS.","Br J Cancer. 2018 May;118(10):1313-1321. doi: 10.1038/s41416-018-0044-7. Epub 2018 May 8.","Br J Cancer.  2018","PubMed","citation","PMID:29736007 | PMCID:PMC5959855","pubmed","29736007","create date:2018/05/08 | first author:Adams SC",
"Female Physicians in Maternal-Fetal Medicine: A 32-Year Perspective.","/pubmed/29734453","Blackstone J, Will VK, Rayburn WF.","Am J Perinatol. 2018 Nov;35(13):1308-1310. doi: 10.1055/s-0038-1646953. Epub 2018 May 7.","Am J Perinatol.  2018","PubMed","citation","PMID:29734453","pubmed","29734453","create date:2018/05/08 | first author:Blackstone J",
"Variations in enamel damage after debonding of two different bracket base designs: An in vitro study.","/pubmed/29732022","Ahangar Atashi MH, Sadr Haghighi AH, Nastarin P, Ahangar Atashi S.","J Dent Res Dent Clin Dent Prospects. 2018 Winter;12(1):56-62. doi: 10.15171/joddd.2018.009. Epub 2018 Mar 14.","J Dent Res Dent Clin Dent Prospects.  2018","PubMed","citation","PMID:29732022 | PMCID:PMC5928475","pubmed","29732022","create date:2018/05/08 | first author:Ahangar Atashi MH",
"Healthy Habits, Healthy Girls-Brazil"": an obesity prevention program with added focus on eating disorders.","/pubmed/29730727","Leme ACB, Philippi ST, Thompson D, Nicklas T, Baranowski T.","Eat Weight Disord. 2019 Feb;24(1):107-119. doi: 10.1007/s40519-018-0510-5. Epub 2018 May 5.","Eat Weight Disord.  2019","PubMed","citation","PMID:29730727","pubmed","29730727","create date:2018/05/08 | first author:Leme ACB",
"What is the effect of prolonged sitting and physical activity on thoracic spine mobility? An observational study of young adults in a UK university setting.","/pubmed/29730619","Heneghan NR, Baker G, Thomas K, Falla D, Rushton A.","BMJ Open. 2018 May 5;8(5):e019371. doi: 10.1136/bmjopen-2017-019371.","BMJ Open.  2018","PubMed","citation","PMID:29730619 | PMCID:PMC5942425","pubmed","29730619","create date:2018/05/08 | first author:Heneghan NR",
"A Randomized Controlled Trial of an Intensive Nutrition Intervention Versus Standard Nutrition Care to Avoid Excess Weight Gain After Kidney Transplantation: The INTENT Trial.","/pubmed/29729825","Henggeler CK, Plank LD, Ryan KJ, Gilchrist EL, Casas JM, Lloyd LE, Mash LE, McLellan SL, Robb JM, Collins MG.","J Ren Nutr. 2018 Sep;28(5):340-351. doi: 10.1053/j.jrn.2018.03.001. Epub 2018 May 2.","J Ren Nutr.  2018","PubMed","citation","PMID:29729825","pubmed","29729825","create date:2018/05/08 | first author:Henggeler CK",
"Exercise effects on cognitive functioning in young adults with first-episode psychosis: FitForLife.","/pubmed/29729687","Hallgren M, Skott M, Ekblom Ö, Firth J, Schembri A, Forsell Y.","Psychol Med. 2019 Feb;49(3):431-439. doi: 10.1017/S0033291718001022. Epub 2018 May 6.","Psychol Med.  2019","PubMed","citation","PMID:29729687","pubmed","29729687","create date:2018/05/08 | first author:Hallgren M",
"Aspergillus precipitating antibody in patients with Mycobacterium avium complex lung disease: A cross-sectional study.","/pubmed/29724379","Suzuki S, Asakura T, Namkoong H, Okamori S, Yagi K, Kamata H, Uwamino Y, Funatsu Y, Nakano Y, Nishimura T, Ishii M, Ebihara T, Betsuyaku T, Hasegawa N.","Respir Med. 2018 May;138:1-6. doi: 10.1016/j.rmed.2018.03.013. Epub 2018 Mar 12.","Respir Med.  2018","PubMed","citation","PMID:29724379","pubmed","29724379","create date:2018/05/05 | first author:Suzuki S",
"Inhalant use in adolescents in northern Russia.","/pubmed/29721591","Koposov R, Stickley A, Ruchkin V.","Soc Psychiatry Psychiatr Epidemiol. 2018 Jul;53(7):709-716. doi: 10.1007/s00127-018-1524-z. Epub 2018 May 2.","Soc Psychiatry Psychiatr Epidemiol.  2018","PubMed","citation","PMID:29721591 | PMCID:PMC6003974","pubmed","29721591","create date:2018/05/04 | first author:Koposov R",
"Effects of NGM282, an FGF19 variant, on colonic transit and bowel function in functional constipation: a randomized phase 2 trial.","/pubmed/29717197","Oduyebo I, Camilleri M, Nelson AD, Khemani D, Nord SL, Busciglio I, Burton D, Rhoten D, Ryks M, Carlson P, Donato L, Lueke A, Kim K, Rossi SJ, Zinsmeister AR.","Am J Gastroenterol. 2018 May;113(5):725-734. doi: 10.1038/s41395-018-0042-7. Epub 2018 May 2.","Am J Gastroenterol.  2018","PubMed","citation","PMID:29717197","pubmed","29717197","create date:2018/05/03 | first author:Oduyebo I",
"Gluteal Loading Versus Sham Exercises to Improve Pain and Dysfunction in Postmenopausal Women with Greater Trochanteric Pain Syndrome: A Randomized Controlled Trial.","/pubmed/29715073","Ganderton C, Semciw A, Cook J, Moreira E, Pizzari T.","J Womens Health (Larchmt). 2018 Jun;27(6):815-829. doi: 10.1089/jwh.2017.6729. Epub 2018 May 1.","J Womens Health (Larchmt).  2018","PubMed","citation","PMID:29715073","pubmed","29715073","create date:2018/05/02 | first author:Ganderton C",
"Statistical Interactions in a Clinical Trial.","/pubmed/29714613","Ting N.","Ther Innov Regul Sci. 2018 Jan;52(1):14-21. doi: 10.1177/2168479017716491. Epub 2017 Jun 30.","Ther Innov Regul Sci.  2018","PubMed","citation","PMID:29714613","pubmed","29714613","create date:2018/05/02 | first author:Ting N",
"Mobile Breast Cancer e-Support Program for Chinese Women With Breast Cancer Undergoing Chemotherapy (Part 2): Multicenter Randomized Controlled Trial.","/pubmed/29712622","Zhu J, Ebert L, Liu X, Wei D, Chan SW.","JMIR Mhealth Uhealth. 2018 Apr 30;6(4):e104. doi: 10.2196/mhealth.9438.","JMIR Mhealth Uhealth.  2018","PubMed","citation","PMID:29712622 | PMCID:PMC5952114","pubmed","29712622","create date:2018/05/02 | first author:Zhu J",
"Persuasiveness of Statistics and Patients' and Mothers' Narratives in Human Papillomavirus Vaccine Recommendation Messages: A Randomized Controlled Study in Japan.","/pubmed/29707533","Okuhara T, Ishikawa H, Okada M, Kato M, Kiuchi T.","Front Public Health. 2018 Apr 12;6:105. doi: 10.3389/fpubh.2018.00105. eCollection 2018.","Front Public Health.  2018","PubMed","citation","PMID:29707533 | PMCID:PMC5906532","pubmed","29707533","create date:2018/05/01 | first author:Okuhara T",
"Lower Choline and Myo-Inositol in Temporo-Parietal Cortex Is Associated With Apathy in Amnestic MCI.","/pubmed/29706886","Tumati S, Opmeer EM, Marsman JC, Martens S, Reesink FE, De Deyn PP, Aleman A.","Front Aging Neurosci. 2018 Apr 13;10:106. doi: 10.3389/fnagi.2018.00106. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:29706886 | PMCID:PMC5909116","pubmed","29706886","create date:2018/05/01 | first author:Tumati S",
"Frontostriatal Dysfunction During Decision Making in Attention-Deficit/Hyperactivity Disorder and Obsessive-Compulsive Disorder.","/pubmed/29706587","Norman LJ, Carlisi CO, Christakou A, Murphy CM, Chantiluke K, Giampietro V, Simmons A, Brammer M, Mataix-Cols D, Rubia K.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2018 Aug;3(8):694-703. doi: 10.1016/j.bpsc.2018.03.009. Epub 2018 Mar 24.","Biol Psychiatry Cogn Neurosci Neuroimaging.  2018","PubMed","citation","PMID:29706587 | PMCID:PMC6278892","pubmed","29706587","create date:2018/05/01 | first author:Norman LJ",
"Variations in biochemical values for common laboratory tests: a comparison among multi-ethnic Israeli women cohort.","/pubmed/29705948","Birk R, Heifetz EM.","Ir J Med Sci. 2019 Feb;188(1):249-258. doi: 10.1007/s11845-018-1825-y. Epub 2018 Apr 28.","Ir J Med Sci.  2019","PubMed","citation","PMID:29705948","pubmed","29705948","create date:2018/05/01 | first author:Birk R",
"A Health Profile and Overview of Healthcare Experiences of Cambodian American Refugees and Immigrants Residing in Southern California.","/pubmed/29705910","Sharif MZ, Biegler K, Mollica R, Sim SE, Nicholas E, Chandler M, Ngo-Metzger Q, Paigne K, Paigne S, Sorkin DH.","J Immigr Minor Health. 2019 Apr;21(2):346-355. doi: 10.1007/s10903-018-0736-3.","J Immigr Minor Health.  2019","PubMed","citation","PMID:29705910 | PMCID:PMC6275140","pubmed","29705910","create date:2018/05/01 | first author:Sharif MZ",
"Comorbid thyroid disease in patients with major depressive disorder - results from the European Group for the Study of Resistant Depression (GSRD).","/pubmed/29705022","Fugger G, Dold M, Bartova L, Kautzky A, Souery D, Mendlewicz J, Serretti A, Zohar J, Montgomery S, Frey R, Kasper S.","Eur Neuropsychopharmacol. 2018 Jun;28(6):752-760. doi: 10.1016/j.euroneuro.2018.03.011. Epub 2018 Apr 26.","Eur Neuropsychopharmacol.  2018","PubMed","citation","PMID:29705022","pubmed","29705022","create date:2018/05/01 | first author:Fugger G",
"Juara Sihat: assessing the sustained impact of a school-based obesity intervention.","/pubmed/29703873","Mok WKH, Poh BK, Wee LH, Devanthini DG, Ruzita AT.","Med J Malaysia. 2018 Apr;73(2):100-105.","Med J Malaysia.  2018","PubMed","citation","PMID:29703873","pubmed","29703873","create date:2018/04/29 | first author:Mok WKH",
"Fundamental motor skills, nutritional status, perceived competence, and school performance of Brazilian children in social vulnerability: Gender comparison.","/pubmed/29702472","Nobre GC, Valentini NC, Nobre FSS.","Child Abuse Negl. 2018 Jun;80:335-345. doi: 10.1016/j.chiabu.2018.04.007. Epub 2018 Apr 24.","Child Abuse Negl.  2018","PubMed","citation","PMID:29702472","pubmed","29702472","create date:2018/04/28 | first author:Nobre GC",
"Developmental evaluation of family functioning deficits in youths and young adults with childhood-onset bipolar disorder.","/pubmed/29702451","MacPherson HA, Ruggieri AL, Christensen RE, Schettini E, Kim KL, Thomas SA, Dickstein DP.","J Affect Disord. 2018 Aug 1;235:574-582. doi: 10.1016/j.jad.2018.04.078. Epub 2018 Apr 16.","J Affect Disord.  2018","PubMed","citation","PMID:29702451 | PMCID:PMC5976258","pubmed","29702451","create date:2018/04/28 | first author:MacPherson HA",
"Barefoot plantar pressure measurement in Chronic Exertional Compartment Syndrome.","/pubmed/29702369","Roscoe D, Roberts AJ, Hulse D, Shaheen A, Hughes MP, Bennett A.","Gait Posture. 2018 Jun;63:10-16. doi: 10.1016/j.gaitpost.2018.04.009. Epub 2018 Apr 9.","Gait Posture.  2018","PubMed","citation","PMID:29702369","pubmed","29702369","create date:2018/04/28 | first author:Roscoe D",
"Guided Web-Based Cognitive Behavior Therapy for Perfectionism: Results From Two Different Randomized Controlled Trials.","/pubmed/29699968","Rozental A, Shafran R, Wade TD, Kothari R, Egan SJ, Ekberg L, Wiss M, Carlbring P, Andersson G.","J Med Internet Res. 2018 Apr 26;20(4):e154. doi: 10.2196/jmir.9823.","J Med Internet Res.  2018","PubMed","citation","PMID:29699968 | PMCID:PMC5945983","pubmed","29699968","create date:2018/04/28 | first author:Rozental A",
"Declining Sexual Activity and Desire in Men-Findings From Representative German Surveys, 2005 and 2016.","/pubmed/29699759","Beutel ME, Burghardt J, Tibubos AN, Klein EM, Schmutzer G, Brähler E.","J Sex Med. 2018 May;15(5):750-756. doi: 10.1016/j.jsxm.2018.03.010.","J Sex Med.  2018","PubMed","citation","PMID:29699759","pubmed","29699759","create date:2018/04/28 | first author:Beutel ME",
"Can't live with or without them:"" Transitions and young adults' perceptions of sibling relationships.","/pubmed/29698011","Jensen AC, Whiteman SD, Fingerman KL.","J Fam Psychol. 2018 Apr;32(3):385-395. doi: 10.1037/fam0000361.","J Fam Psychol.  2018","PubMed","citation","PMID:29698011 | PMCID:PMC5922770","pubmed","29698011","create date:2018/04/27 | first author:Jensen AC",
"Different ways to estimate treatment effects in randomised controlled trials.","/pubmed/29696162","J T, L B, T H, J R, M W, M H.","Contemp Clin Trials Commun. 2018 Mar 28;10:80-85. doi: 10.1016/j.conctc.2018.03.008. eCollection 2018 Jun.","Contemp Clin Trials Commun.  2018","PubMed","citation","PMID:29696162 | PMCID:PMC5898524","pubmed","29696162","create date:2018/04/27 | first author:J T",
"The effect of regularly dosed paracetamol versus no paracetamol on renal function in Plasmodium knowlesi malaria (PACKNOW): study protocol for a randomised controlled trial.","/pubmed/29690924","Cooper DJ, Plewes K, Grigg MJ, Rajahram GS, Piera KA, William T, Chatfield MD, Yeo TW, Dondorp AM, Anstey NM, Barber BE.","Trials. 2018 Apr 24;19(1):250. doi: 10.1186/s13063-018-2600-0.","Trials.  2018","PubMed","citation","PMID:29690924 | PMCID:PMC5926539","pubmed","29690924","create date:2018/04/25 | first author:Cooper DJ",
"Motivational profiles and their relationships with basic psychological needs, academic performance, study strategies, self-esteem, and vitality in dental students in Chile.","/pubmed/29689689","Orsini CA, Binnie VI, Tricio JA.","J Educ Eval Health Prof. 2018 Apr 19;15:11. doi: 10.3352/jeehp.2018.15.11. eCollection 2018.","J Educ Eval Health Prof.  2018","PubMed","citation","PMID:29689689 | PMCID:PMC5968222","pubmed","29689689","create date:2018/04/25 | first author:Orsini CA",
"Basal ganglia shrinkage without remarkable hippocampal atrophy in chronic aviremic HIV-positive patients.","/pubmed/29687405","Tesic T, Boban J, Bjelan M, Todorovic A, Kozic D, Brkic S.","J Neurovirol. 2018 Aug;24(4):478-487. doi: 10.1007/s13365-018-0635-3. Epub 2018 Apr 23.","J Neurovirol.  2018","PubMed","citation","PMID:29687405","pubmed","29687405","create date:2018/04/25 | first author:Tesic T",
"The presence of children in households was associated with dietary intake among Japanese married women: the POTATO study.","/pubmed/29686865","Saito A, Matsumoto M, Hyakutake A, Saito M, Okamoto N.","J Nutr Sci. 2018 Apr 12;7:e16. doi: 10.1017/jns.2018.9. eCollection 2018.","J Nutr Sci.  2018","PubMed","citation","PMID:29686865 | PMCID:PMC5906553","pubmed","29686865","create date:2018/04/25 | first author:Saito A",
